,Algaater
0,55.8
1,62.275
2,62.5
3,38.6625
4,58.075
5,60.2625
6,45.375
7,62.5
8,65.5
9,18.4125
10,46.975
11,52.75
12,40.7875
13,34.2125
14,43.8
15,58.0875
16,30.6125
17,55.1125
18,47.2875
19,39.6125
20,47.2
21,40.05
22,60.5875
23,55.9
24,61.3625
25,46.0
26,40.7125
27,55.925
28,69.9
29,52.6875
30,62.5
31,67.6
32,54.7875
33,62.5
34,44.5125
35,36.45
36,52.0
37,76.0
38,95.575
39,62.5
40,45.7
41,41.75
42,42.9125
43,62.5
44,54.7875
45,57.75
46,54.7
47,60.125
48,52.0
49,61.9625
50,47.925
51,46.4
52,65.5
53,38.775
54,60.2875
55,50.8
56,54.5
57,24.5125
58,68.5
59,55.45
60,49.6625
61,63.525
62,45.675
63,57.975
64,42.2875
65,29.6
66,62.5
67,41.95
68,87.1
69,62.5
70,58.875
71,62.5
72,48.0875
73,62.5
74,45.9
75,54.85
76,47.9875
77,62.5
78,90.7625
79,54.7125
80,62.5
81,41.075
82,59.4875
83,42.9875
84,16.8625
85,45.5125
86,19.85
87,43.35
88,45.35
89,50.9875
90,60.25
91,61.1125
92,48.475
93,62.5
94,42.275
95,79.7875
96,46.4125
97,42.0125
98,42.5625
99,42.4625
100,48.7375
101,73.0375
102,28.8625
103,34.7375
104,40.1375
105,42.25
106,46.6375
107,45.9
108,43.5875
109,17.7125
110,62.5
111,65.5
112,62.5
113,29.325
114,97.0
115,62.5
116,15.15
117,34.1625
118,44.45
119,63.6375
120,70.425
121,61.2
122,62.5
123,28.3625
124,59.6125
125,62.5
126,62.5
127,58.45
128,43.525
129,16.9375
130,43.075
131,36.55
132,26.6125
133,17.9375
134,49.75
135,66.1625
136,62.5
137,59.0375
138,19.1375
139,36.1
140,41.8
141,62.5
142,34.0
143,58.525
144,57.025
145,45.2
146,65.6125
147,62.5
148,100.0
149,38.575
150,36.9125
151,57.025
152,38.8625
153,56.25
154,45.7375
155,34.05
156,46.1125
157,59.8125
158,65.5
159,62.5
160,26.7125
161,44.3
162,62.5
163,40.0875
164,38.05
165,43.8
166,55.7875
167,32.65
168,62.5
169,42.9125
170,48.575
171,31.8625
172,62.5
173,64.7875
174,51.1
175,23.3375
176,43.4875
177,48.225
178,64.325
179,73.0
180,62.5
181,55.925
182,16.7125
183,57.0875
184,48.4
185,38.175
186,62.5
187,31.5625
188,62.5
189,58.8625
190,36.1625
191,43.3875
192,58.4875
193,49.4
194,22.5875
195,49.0625
196,43.8
197,45.375
198,38.7625
199,54.0125
200,46.1
201,14.275
202,88.225
203,60.5
204,16.8125
205,16.3875
206,86.0375
207,53.825
208,65.5
209,57.3875
210,42.825
211,44.575
212,61.55
213,41.975
214,46.1875
215,43.0
216,58.8875
217,62.5
218,50.8875
219,95.625
220,57.625
221,46.375
222,37.3375
223,58.4125
224,47.1125
225,55.875
226,45.4
227,13.8625
228,46.7625
229,62.5
230,73.7875
231,48.9875
232,49.125
233,15.725
234,58.6
235,46.5875
236,64.95
237,53.8625
238,49.175
239,50.4
240,62.5
241,77.9625
242,43.8
243,62.5
244,24.425
245,30.125
246,47.375
247,57.025
248,62.5
249,20.6375
250,39.25
251,62.5
252,58.0375
253,53.55
254,62.9875
255,43.5875
256,40.6125
257,19.375
258,53.55
259,56.9875
260,49.0
261,49.4
262,15.2
263,88.025
264,70.4
265,57.9125
266,62.5
267,27.4875
268,44.025
269,45.625
270,43.5875
271,57.725
272,91.2
273,45.8125
274,25.4875
275,65.5
276,36.8375
277,62.5
278,40.625
279,62.5
280,62.5
281,58.4875
282,48.1125
283,45.175
284,25.0625
285,42.925
286,65.825
287,62.425
288,39.6
289,62.5
290,58.875
291,49.4
292,62.5
293,68.7875
294,31.0625
295,15.8875
296,63.15
297,30.6125
298,17.475
299,60.4
300,48.0375
301,44.0875
302,59.8375
303,62.5
304,46.5625
305,46.75
306,42.8625
307,73.8125
308,62.5
309,28.825
310,100.0
311,57.9
312,41.3625
313,14.8125
314,62.275
315,54.875
316,29.2625
317,62.5
318,62.5
319,55.8125
320,45.275
321,46.725
322,67.325
323,47.25
324,62.5
325,41.3875
326,47.0
327,83.2125
328,51.3125
329,42.6125
330,13.875
331,55.4
332,58.0
333,40.0375
334,48.5375
335,43.7125
336,59.275
337,51.1875
338,46.2375
339,30.925
340,61.9
341,62.5
342,59.2625
343,36.5375
344,62.225
345,60.7
346,43.025
347,40.05
348,46.6
349,57.8
350,40.5
351,83.5
352,40.7875
353,43.4
354,25.9875
355,62.5
356,45.9
357,62.5
358,40.05
359,51.0
360,41.775
361,63.3
362,35.8375
363,62.5
364,16.1375
365,43.35
366,95.5
367,63.7
368,56.9875
369,64.0
370,41.35
371,14.6375
372,47.8
373,37.0
374,44.0375
375,59.825
376,83.1125
377,62.5
378,38.0625
379,13.2625
380,50.7375
381,51.675
382,62.5
383,65.5
384,44.6625
385,59.2
386,47.95
387,37.425
388,53.55
389,13.1625
390,44.45
391,36.225
392,62.5
393,57.3875
394,39.9125
395,44.7875
396,25.7625
397,56.95
398,36.325
399,54.5
400,37.2625
401,39.65
402,15.475
403,58.8875
404,62.5
405,65.725
406,57.4875
407,30.375
408,41.05
409,59.4875
410,84.675
411,35.0125
412,63.7
413,43.2125
414,58.0
415,33.425
416,50.4
417,44.875
418,58.425
419,21.225
420,54.7875
421,24.4375
422,62.5
423,40.9875
424,24.225
425,45.6375
426,46.6875
427,97.0
428,45.6
429,49.7
430,60.7
431,67.0
432,64.825
433,64.0
434,62.5
435,69.375
436,27.1875
437,41.775
438,45.7
439,42.6875
440,81.225
441,58.9875
442,61.4
443,62.5
444,58.025
445,46.2
446,45.1125
447,36.5875
448,63.3
449,62.5
450,18.375
451,21.4
452,14.5625
453,52.4
454,57.775
455,62.5
456,63.825
457,59.2625
458,59.3
459,63.2
460,47.6
461,53.9375
462,20.1875
463,40.9375
464,65.5
465,23.6
466,62.5
467,51.5125
468,44.6375
469,43.8
470,22.675
471,37.425
472,33.1625
473,53.3625
474,51.85
475,43.3875
476,59.7125
477,11.675
478,62.5
479,64.0
480,59.525
481,64.0
482,62.2
483,21.5875
484,45.775
485,64.025
486,50.0
487,43.2625
488,59.2125
489,63.4875
490,35.3125
491,58.875
492,43.25
493,89.2125
494,36.75
495,42.25
496,52.3
497,12.65
498,46.7
499,42.9875
