,BBL
0,44.6
1,46.1
2,43.6875
3,42.725
4,44.6
5,44.3
6,44.6
7,44.3
8,44.6
9,46.1
10,98.7
11,24.2625
12,46.1
13,44.6
14,46.1
15,44.6
16,44.6
17,46.1
18,46.1
19,44.6
20,24.2625
21,98.7
22,44.6
23,46.1
24,46.1
25,44.6
26,46.1
27,44.6
28,44.0375
29,43.9875
30,42.725
31,43.6875
32,44.3
33,46.1
34,44.3
35,46.1
36,44.6
37,44.3
38,44.0375
39,43.9875
40,46.1
41,44.6
42,43.6875
43,42.725
44,46.1
45,44.6
46,44.3
47,44.6
48,98.7
49,24.2625
50,46.1
51,44.6
52,44.6
53,46.1
54,62.9
55,60.4
56,45.0
57,45.0
58,46.1
59,44.6
60,44.3
61,46.1
62,44.3
63,46.1
64,45.0
65,45.0
66,44.3
67,44.6
68,44.6
69,46.1
70,46.1
71,44.6
72,46.1
73,44.3
74,46.1
75,44.6
76,44.6
77,44.3
78,44.0375
79,43.9875
80,45.0
81,45.0
82,43.6875
83,42.725
84,46.1
85,44.6
86,45.0
87,45.0
88,62.9
89,60.4
90,45.0
91,45.0
92,44.6
93,46.1
94,43.9875
95,44.0375
96,42.725
97,43.6875
98,24.25
99,97.8375
100,98.7
101,24.2625
102,44.6
103,46.1
104,44.0625
105,45.25
106,43.6875
107,42.725
108,44.6
109,44.3
110,44.6
111,46.1
112,46.1
113,44.6
114,44.6
115,46.1
116,46.1
117,44.6
118,43.6875
119,42.725
120,44.3
121,44.6
122,44.3
123,44.6
124,43.6875
125,42.725
126,45.25
127,44.0625
128,44.6
129,46.1
130,44.3
131,44.6
132,62.9
133,60.4
134,46.1
135,44.6
136,45.0
137,45.0
138,24.25
139,97.8375
140,46.1
141,44.6
142,98.7
143,24.2625
144,46.1
145,44.6
146,45.25
147,44.0625
148,44.6
149,46.1
150,46.1
151,44.3
152,46.1
153,44.3
154,45.0
155,45.0
156,46.1
157,44.6
158,44.3
159,44.6
160,46.1
161,44.6
162,44.3
163,44.6
164,44.6
165,44.3
166,44.3
167,44.6
168,43.6875
169,42.725
170,44.6
171,46.1
172,62.9
173,60.4
174,46.1
175,44.6
176,46.1
177,44.6
178,44.6
179,46.1
180,44.3
181,44.6
182,44.6
183,44.3
184,44.6
185,46.1
186,44.6
187,46.1
188,45.0
189,45.0
190,46.1
191,44.6
192,24.2625
193,98.7
194,44.3
195,44.6
196,44.6
197,44.3
198,44.3
199,46.1
200,46.1
201,44.6
202,43.6875
203,42.725
204,44.6
205,46.1
206,46.1
207,44.6
208,45.0
209,45.0
210,45.0
211,45.0
212,44.6
213,46.1
214,44.0625
215,45.25
216,42.725
217,43.6875
218,46.1
219,44.6
220,46.1
221,44.3
222,46.1
223,44.6
224,46.1
225,44.6
226,46.1
227,44.6
228,46.1
229,44.6
230,44.6
231,46.1
232,44.6
233,46.1
234,46.1
235,44.6
236,42.725
237,43.6875
238,44.3
239,44.6
240,45.0
241,45.0
242,44.6
243,44.3
244,44.6
245,46.1
246,44.3
247,46.1
248,46.1
249,44.6
250,45.0
251,45.0
252,46.1
253,44.3
254,44.3
255,46.1
256,44.6
257,46.1
258,44.0625
259,45.25
260,46.1
261,44.6
262,44.6
263,46.1
264,46.1
265,44.6
266,24.2625
267,98.7
268,44.6
269,46.1
270,98.7
271,24.2625
272,45.0
273,45.0
274,45.25
275,44.0625
276,45.0
277,45.0
278,45.0
279,45.0
280,46.1
281,44.6
282,44.6
283,46.1
284,45.0
285,45.0
286,45.0
287,45.0
288,44.6
289,46.1
290,44.6
291,46.1
292,44.3
293,46.1
294,97.8375
295,24.25
296,43.6875
297,42.725
298,45.0
299,45.0
300,44.3
301,46.1
302,45.0
303,45.0
304,44.3
305,44.6
306,46.1
307,44.3
308,43.9875
309,44.0375
310,44.6
311,46.1
312,46.1
313,44.6
314,24.2625
315,98.7
316,46.1
317,44.3
318,44.6
319,46.1
320,43.6875
321,42.725
322,44.6
323,46.1
324,42.725
325,43.6875
326,45.0
327,45.0
328,24.2625
329,98.7
330,43.6875
331,42.725
332,44.6
333,46.1
334,43.6875
335,42.725
336,46.1
337,44.3
338,44.6
339,46.1
340,44.3
341,46.1
342,43.6875
343,42.725
344,44.3
345,46.1
346,44.6
347,46.1
348,45.0
349,45.0
350,44.6
351,46.1
352,24.2625
353,98.7
354,45.0
355,45.0
356,44.6
357,46.1
358,46.1
359,44.3
360,44.6
361,46.1
362,46.1
363,44.6
364,45.0
365,45.0
366,45.0
367,45.0
368,44.6
369,46.1
370,45.0
371,45.0
372,43.6875
373,42.725
374,46.1
375,44.6
376,44.3
377,46.1
378,46.1
379,44.6
380,44.3
381,44.6
382,44.6
383,46.1
384,44.6
385,46.1
386,45.0
387,45.0
388,44.3
389,46.1
390,24.2625
391,98.7
392,44.6
393,46.1
394,24.2625
395,98.7
396,98.7
397,24.2625
398,44.6
399,46.1
400,24.2625
401,98.7
402,44.6
403,46.1
404,44.6
405,46.1
406,46.1
407,44.6
408,44.6
409,46.1
410,44.3
411,44.6
412,45.0
413,45.0
414,24.2625
415,98.7
416,44.3
417,44.6
418,45.0
419,45.0
420,43.6875
421,42.725
422,44.0625
423,45.25
424,45.25
425,44.0625
426,24.2625
427,98.7
428,45.0
429,45.0
430,45.0
431,45.0
432,44.3
433,44.6
434,44.3
435,46.1
436,45.25
437,44.0625
438,42.725
439,43.6875
440,45.0
441,45.0
442,45.0
443,45.0
444,46.1
445,44.6
446,45.0
447,45.0
448,44.3
449,46.1
450,44.3
451,44.6
452,98.7
453,24.2625
454,60.4
455,62.9
456,42.725
457,43.6875
458,44.6
459,46.1
460,46.1
461,44.3
462,42.725
463,43.6875
464,44.3
465,44.6
466,43.6875
467,42.725
468,45.0
469,45.0
470,45.0
471,45.0
472,45.0
473,45.0
474,46.1
475,44.6
476,44.6
477,46.1
478,46.1
479,44.6
480,43.6875
481,42.725
482,42.725
483,43.6875
484,46.1
485,44.6
486,45.0
487,45.0
488,46.1
489,44.6
490,42.725
491,43.6875
492,44.6
493,46.1
494,45.0
495,45.0
496,97.8375
497,24.25
498,24.2625
499,98.7
500,98.7
501,24.2625
502,44.3
503,44.6
504,24.25
505,97.8375
506,44.3
507,46.1
508,46.1
509,44.6
510,45.0
511,45.0
512,24.2625
513,98.7
514,44.6
515,46.1
516,42.725
517,43.6875
518,24.2625
519,98.7
520,45.25
521,44.0625
522,44.3
523,46.1
524,44.6
525,46.1
526,43.6875
527,42.725
528,46.1
529,44.6
530,44.3
531,44.6
532,45.25
533,44.0625
534,43.6875
535,42.725
536,44.3
537,46.1
538,46.1
539,44.6
540,42.725
541,43.6875
542,45.0
