,BBL
0,8.6
1,10.3
2,33.2875
3,54.85
4,60.8
5,24.2875
6,65.5
7,64.4
8,38.4125
9,34.025
10,48.2125
11,64.4
12,23.75
13,10.7
14,62.5
15,17.8
16,51.375
17,17.875
18,14.5375
19,54.375
20,10.3
21,23.0
22,24.2625
23,61.7625
24,16.775
25,59.2875
26,10.3625
27,35.3625
28,10.7375
29,61.1
30,24.25
31,56.7125
32,10.3
33,53.5125
34,11.1375
35,10.3
36,64.0
37,10.3
38,61.7625
39,57.575
40,24.2875
41,62.2
42,61.8375
43,63.3875
44,50.4375
45,24.2625
46,60.2875
47,59.675
48,58.9125
49,24.2875
50,61.8375
51,58.075
52,56.65
53,10.3
54,64.0
55,62.0
56,64.0
57,62.5
58,56.65
59,7.3625
60,20.8
61,18.375
62,11.8625
63,10.275
64,49.5
65,64.0
66,24.2625
67,28.45
68,62.2
69,59.0
70,24.2875
71,24.2625
72,8.8625
73,24.25
74,60.8
75,36.2625
76,7.3625
77,64.0
78,8.8625
79,18.975
80,24.25
81,55.275
82,24.2625
83,61.7625
84,58.4125
85,12.975
86,11.1
87,58.125
88,59.275
89,21.75
90,21.75
91,8.8625
92,15.2375
93,58.075
94,23.75
95,54.9125
96,50.425
97,61.2625
98,62.2
99,64.0
100,53.7625
101,64.0
102,60.2875
103,11.1375
104,19.3375
105,47.825
106,57.075
107,11.8
108,24.25
109,56.675
110,62.5
111,13.7
112,13.275
113,15.7375
114,23.75
115,61.7625
116,54.4875
117,23.75
118,19.5125
119,60.5625
120,61.7875
121,57.775
122,11.8
123,17.2875
124,59.7
125,36.65
126,15.6375
127,43.475
128,62.5
129,18.0125
130,58.9125
131,12.975
132,17.1
133,13.3375
134,25.75
135,62.5
136,62.2
137,24.2625
138,15.6375
139,35.1125
140,16.0375
141,26.525
142,60.4
143,50.725
144,59.575
145,62.5
146,63.3875
147,61.2625
148,60.4625
149,14.8375
150,20.2375
151,10.7375
152,10.3
153,62.5
154,16.3
155,64.0
156,10.0
157,24.2625
158,62.5
159,52.525
160,59.275
161,23.75
162,56.7125
163,61.8375
164,60.4
165,16.0
166,59.575
167,23.75
168,14.4375
169,25.6375
170,16.0125
171,45.3625
172,13.3375
173,8.1
174,61.7625
175,47.175
176,60.2875
177,37.6625
178,10.3625
179,17.05
180,21.0125
181,8.5
182,61.7625
183,41.7
184,56.75
185,52.9375
186,55.15
187,61.8375
188,23.75
189,31.825
190,53.5375
191,11.8
192,61.7625
193,13.0
194,23.625
195,19.8125
196,59.7
197,13.775
198,54.4875
199,29.1875
200,60.2875
201,50.6
202,10.7375
203,63.2875
204,58.125
205,63.2875
206,62.2
207,26.1875
208,11.8
209,23.625
210,14.2375
211,64.4
212,61.7625
213,10.95
214,62.5
215,13.3375
216,58.125
217,23.55
218,62.2
219,11.1
220,63.2875
221,11.8
222,24.2125
223,62.5
224,23.625
225,11.5
226,61.7625
227,61.2625
228,56.4875
229,59.575
230,24.2875
231,8.1
232,61.2625
233,64.0
234,17.55
235,12.975
236,60.4
237,63.3875
238,32.775
239,62.5
240,57.0875
241,51.375
242,24.3125
243,14.25
244,64.4
245,21.2125
246,24.975
247,33.2625
248,58.125
249,28.6375
250,62.2
251,64.0
252,64.4
253,63.2875
254,23.9625
255,59.575
