,BBL
0,69.1625
1,52.2375
2,54.05
3,23.725
4,47.525
5,58.35
6,58.9
7,24.2625
8,24.05
9,63.2875
10,51.9
11,77.9
12,23.625
13,47.2
14,47.9625
15,50.4625
16,35.125
17,52.1
18,61.875
19,20.625
20,48.1
21,27.0625
22,57.575
23,55.0375
24,37.85
25,43.7625
26,49.05
27,53.5
28,50.825
29,46.6
30,14.025
31,47.5125
32,50.5
33,47.875
34,52.45
35,59.8
36,18.9875
37,46.0125
38,61.7625
39,48.8875
40,51.725
41,58.075
42,68.5
43,49.0
44,52.9875
45,19.775
46,68.0625
47,46.75
48,75.0
49,64.4
50,40.3375
51,44.6
52,46.8375
53,48.6
54,60.1
55,41.575
56,73.8875
57,54.9
58,58.9875
59,59.275
60,64.7875
61,71.6
62,68.2875
63,48.1375
64,74.1
65,64.2875
66,46.5
67,49.9
68,49.8625
69,47.4375
70,26.125
71,19.5875
72,47.45
73,19.8125
74,42.025
75,98.3
76,73.5
77,85.95
78,46.725
79,53.8625
80,50.3
81,48.3
82,49.7
83,31.425
84,44.1875
85,96.2625
86,50.8375
87,47.1625
88,21.95
89,50.6
90,22.7875
91,60.4
92,54.3875
93,68.7625
94,24.2625
95,49.4
96,43.8625
97,68.425
98,41.325
99,64.8375
100,60.9
101,30.9625
102,52.9375
103,58.9875
104,89.3875
105,53.4875
106,14.525
107,55.2
108,72.125
109,51.4
110,60.475
111,45.5375
112,35.7625
113,52.925
114,14.875
115,58.9
116,31.3625
117,17.5875
118,62.6
119,53.7625
120,29.9
121,100.0
122,44.4125
123,56.3
124,28.4625
125,23.675
126,60.775
127,48.9625
128,24.8625
129,57.5125
130,52.6875
131,45.525
132,48.4625
133,48.5625
134,47.1625
135,45.9875
136,94.7125
137,45.7
138,58.4875
139,47.2
140,21.9125
141,52.4
142,24.2625
143,61.8875
144,68.2
145,58.6875
146,61.9
147,52.8375
148,44.775
149,62.0
150,44.425
151,23.625
152,27.25
153,41.8625
154,52.2
155,39.4
156,28.3875
157,45.7
158,54.5
159,49.8
160,43.8625
161,46.125
162,20.6125
163,47.4125
164,47.9
165,45.0
166,59.3
167,47.7
168,46.5
169,47.7
170,10.1875
171,69.3875
172,22.9375
173,69.2875
174,47.0
175,12.2375
176,58.15
177,17.9125
178,51.6
179,50.5
180,98.2
181,15.8875
182,64.675
183,49.4
184,43.675
185,51.6
186,23.5875
187,100.0
188,76.5
189,59.6875
190,23.625
191,57.775
192,65.9
193,43.4625
194,49.975
195,56.075
196,47.9
197,26.85
198,52.225
