,EEE
0,28.05
1,56.6375
2,58.025
3,34.2375
4,28.3375
5,61.175
6,48.6125
7,49.1625
8,58.025
9,58.4875
10,14.6375
11,31.45
12,61.8
13,12.4
14,63.1
15,39.0875
16,14.3
17,31.6875
18,56.2
19,39.1625
20,33.4
21,62.975
22,28.2125
23,62.5
24,44.5
25,40.125
26,16.4375
27,46.075
28,55.0
29,31.9
30,45.675
31,7.2875
32,18.725
33,21.4
34,30.9875
35,60.05
36,35.475
37,31.8625
38,17.9
39,46.95
40,5.325
41,54.575
42,41.025
43,33.0
44,40.775
45,40.4125
46,11.425
47,52.5
48,47.575
49,38.725
50,29.5
51,23.825
52,62.5
53,35.1
54,28.525
55,50.9375
56,56.425
57,35.3125
58,19.8
59,54.5375
60,46.7
61,42.55
62,18.3
63,29.025
64,35.1375
65,20.575
66,49.875
67,18.575
68,49.1875
69,26.875
70,29.6125
71,58.6
72,29.2
73,52.5625
74,6.325
75,49.8875
76,22.7875
77,60.6375
78,45.5375
79,42.0625
80,21.9125
81,40.775
82,22.0125
83,37.6625
84,8.0625
85,49.7625
86,9.175
87,37.0625
88,35.575
89,40.925
90,44.45
91,42.6125
92,21.8
93,21.3
94,37.2625
95,25.4625
96,16.375
97,58.3
98,28.475
99,20.9875
100,49.6875
101,17.1625
102,57.225
103,42.2875
104,33.8875
105,43.6875
106,24.275
107,59.475
108,21.0375
109,49.1125
110,25.45
111,55.45
112,45.0875
113,53.75
114,17.5
115,44.525
116,55.1125
117,43.5125
118,57.35
119,49.1875
120,49.675
121,10.6
122,43.575
123,47.8875
124,52.15
125,47.7125
126,50.4
127,52.475
128,47.95
129,22.1875
130,8.6875
131,31.875
132,42.5875
133,52.7875
134,30.5125
135,48.325
136,19.025
137,51.6125
138,53.9
139,43.6625
140,0.7125
141,45.0875
142,55.0
143,50.5875
144,41.75
145,57.975
146,49.1125
147,27.425
148,55.15
149,30.9875
150,54.1625
151,18.175
152,29.875
153,60.825
154,53.3625
155,47.9875
156,38.95
157,48.5125
158,44.9375
159,47.1875
160,30.2
161,46.8
162,54.9125
163,51.725
164,23.375
165,40.0375
166,58.825
167,45.25
168,34.1125
169,50.5375
170,38.5
171,18.325
172,22.85
173,59.5375
174,40.0625
175,58.3
176,58.075
177,33.5875
178,62.5
179,47.4125
180,25.0
181,60.1
182,57.0125
183,35.0875
184,51.7375
185,58.9
186,62.5
187,39.325
188,20.1875
