,S++
0,30.525
1,-5.775
2,-4.9625
3,9.775
4,15.425
5,-6.7125
6,6.9625
7,3.5125
8,1.7625
9,-7.275
10,50.65
11,0.525
12,15.7125
13,0.95
14,47.3625
15,50.2
16,46.1
17,52.65
18,47.525
19,-1.6
20,9.0125
21,-8.7125
22,3.6625
23,4.55
24,-2.4
25,-1.7875
26,-6.85
27,-0.1375
28,3.3625
29,-1.725
30,-6.05
31,87.5
32,78.225
33,88.775
34,-7.475
35,-7.4875
36,-6.7
37,-5.55
38,-4.775
39,86.85
40,19.2125
41,40.075
42,38.175
43,67.7375
44,20.7375
45,23.2875
46,26.55
47,28.5
48,25.575
49,24.3625
50,34.45
51,35.925
52,50.5125
53,32.4125
54,39.75
55,5.35
56,21.55
57,4.6125
58,24.175
59,60.8875
60,16.8875
61,3.1
62,-10.975
63,-7.9125
64,-5.1125
65,19.6125
66,-8.6375
67,19.975
68,12.625
69,-7.1625
70,25.85
71,19.1375
72,12.9
73,14.3125
74,16.5375
75,31.1875
76,27.2625
77,14.4875
78,24.625
79,30.9125
