,EEE
0,82
1,44
2,51
3,115
4,103
5,35
6,94
7,34
8,93
9,60
10,92
11,79
12,35
13,104
14,64
15,46
16,118
17,28
18,41
19,118
20,43
21,73
22,44
23,85
24,52
25,35
26,100
27,61
28,118
29,101
30,28
31,70
32,45
33,110
34,114
35,106
36,57
37,58
38,78
39,96
40,35
41,58
42,73
43,52
44,62
45,96
46,57
47,56
48,41
49,56
50,47
51,50
52,0
53,97
54,43
55,42
56,76
57,38
58,28
59,63
60,96
61,125
62,41
63,47
64,14
65,41
66,14
67,47
68,98
69,41
70,112
71,74
72,38
73,38
74,69
75,112
76,45
77,12
78,58
79,41
80,119
81,87
82,44
83,52
84,43
85,61
86,100
87,23
88,69
89,40
90,50
91,86
92,50
93,64
94,67
95,40
96,36
97,86
98,63
99,50
100,-3
101,103
102,57
103,49
104,123
105,106
106,104
107,51
108,80
109,54
110,-2
111,44
112,91
113,60
114,101
115,51
116,54
117,97
118,97
119,50
120,110
121,16
122,44
123,60
124,108
125,126
126,44
127,63
128,101
129,120
130,97
131,117
132,56
133,118
134,41
135,88
136,74
137,50
138,41
139,69
140,38
141,40
142,53
143,41
144,50
145,94
146,68
147,50
148,120
149,50
150,27
151,50
152,100
153,115
154,106
155,95
156,40
157,-8
158,60
159,85
160,54
161,49
162,40
163,83
164,50
165,91
166,37
167,66
168,66
169,30
170,118
171,106
172,106
173,88
174,88
175,84
176,106
177,44
178,112
179,87
180,41
181,64
182,118
183,47
184,66
185,44
186,47
187,82
188,60
189,79
190,48
191,120
192,67
193,58
194,102
195,94
196,95
197,25
198,22
199,35
200,123
201,44
202,109
203,8
204,45
205,102
206,97
207,67
208,60
209,118
210,94
211,34
212,44
213,77
214,89
215,48
216,37
217,-2
218,50
219,51
220,32
221,42
222,98
223,87
224,38
225,60
226,44
227,38
228,40
229,118
230,40
231,38
232,38
233,23
234,47
235,51
236,86
237,51
238,107
239,77
240,96
241,98
242,38
243,83
244,55
245,55
246,53
247,46
248,109
249,109
250,46
251,41
252,89
253,96
254,57
255,91
256,108
257,48
258,38
259,62
260,50
261,50
262,61
263,28
264,112
265,39
266,73
267,82
268,64
269,44
270,108
271,26
272,41
273,51
274,60
275,39
276,40
277,97
278,99
279,104
280,107
281,37
282,50
283,54
284,57
285,79
286,110
287,45
288,40
289,97
290,38
291,98
292,118
293,126
294,44
295,43
296,106
297,43
298,118
299,38
300,100
301,82
302,112
303,110
304,45
305,112
306,115
307,27
308,32
309,92
310,11
311,80
312,-2
313,112
314,112
315,96
316,47
317,39
318,54
319,35
320,112
321,65
322,37
323,87
324,8
325,126
326,27
327,62
328,79
329,118
330,118
331,109
332,38
333,94
334,48
335,42
336,97
337,46
338,64
339,99
340,47
341,44
342,50
343,107
344,40
345,50
346,33
347,14
348,15
349,90
350,110
351,105
352,108
353,45
354,41
355,106
356,39
357,112
358,34
359,35
360,53
361,72
362,84
363,106
364,57
365,112
366,41
367,98
368,67
369,114
370,64
371,112
372,97
373,98
374,35
375,99
376,45
377,54
378,52
379,43
380,23
381,99
382,-7
383,86
384,103
385,87
386,40
387,44
388,98
389,94
390,40
391,100
392,60
393,98
394,40
395,111
396,40
397,-6
398,82
399,41
400,37
401,65
402,102
403,120
404,102
405,115
406,92
407,38
408,41
409,67
410,77
411,91
412,32
413,109
414,62
415,-2
416,123
417,114
418,116
419,45
420,58
421,44
422,110
423,115
424,83
425,34
426,51
427,51
428,65
429,118
430,48
431,46
432,118
433,59
434,53
435,38
436,105
437,57
438,63
439,38
440,70
441,28
442,103
443,52
444,115
445,54
446,90
447,8
448,62
449,41
450,41
451,79
452,51
453,47
454,102
455,7
456,44
457,38
458,37
459,38
460,30
461,61
462,51
463,79
464,64
465,60
466,57
467,51
468,25
469,108
470,19
471,95
472,35
473,114
474,46
475,114
476,54
477,36
478,35
479,89
480,50
481,114
482,44
483,26
484,81
485,81
486,94
487,57
488,65
489,37
490,41
491,21
492,117
493,113
494,94
495,112
496,67
497,109
498,52
499,106
