,EEE
0,26
1,-3
2,50
3,24
4,41
5,20
6,-16
7,14
8,-25
9,-22
10,-12
11,23
12,-9
13,50
14,50
15,50
16,35
17,50
18,50
19,32
20,-31
21,-78
22,-9
23,44
24,-7
25,-16
26,50
27,44
28,50
29,14
30,-55
31,50
32,-58
33,14
34,-58
35,-33
36,50
37,14
38,-43
39,50
40,-43
41,-52
42,-65
43,50
44,26
45,50
46,5
47,-34
48,-19
49,50
50,50
51,5
52,41
53,20
54,17
55,44
56,26
57,47
58,-29
59,-43
60,-6
61,44
62,-25
63,-54
64,-39
65,23
66,26
67,26
68,47
69,-58
70,24
71,-77
72,-55
73,26
74,-66
75,-34
76,41
77,-16
78,5
79,41
80,20
81,-28
82,18
83,17
84,-49
85,15
86,-27
87,8
88,-65
89,19
90,50
91,12
92,-25
93,-18
94,27
95,-53
96,-35
97,-50
98,-79
99,-53
100,-10
101,32
102,50
103,50
104,44
105,-75
106,41
107,14
108,50
109,41
110,44
111,50
112,50
113,26
114,-19
115,50
116,44
117,-91
118,-4
119,50
120,-19
121,50
122,14
123,-57
124,17
125,50
126,14
127,38
128,-57
129,24
130,-80
131,38
132,44
133,-22
134,32
135,-25
136,41
137,-80
138,-44
139,50
140,12
141,47
142,-97
143,50
144,-58
145,26
146,41
147,32
148,-73
149,50
150,-62
151,32
152,-82
153,44
154,-68
155,-34
156,44
157,14
158,-46
159,50
160,-1
161,-74
162,44
163,50
164,50
165,47
166,26
167,12
168,47
169,-73
170,-36
171,-67
172,-13
173,-61
174,26
175,32
176,50
177,-4
178,41
179,1
180,-60
181,2
182,47
183,38
184,50
185,41
186,-85
187,50
188,41
189,44
190,-35
191,10
192,-46
193,-65
194,-67
195,44
196,-70
197,-35
198,-19
199,-83
200,14
201,35
202,50
203,14
204,-61
205,-41
206,-100
207,-63
208,50
209,41
210,41
211,-70
212,-31
213,38
214,-84
215,32
216,-31
217,14
218,41
219,-36
220,-64
221,50
222,-65
223,-64
224,17
225,44
226,-42
227,15
228,41
229,0
230,50
231,14
232,2
233,6
234,50
235,44
236,14
237,50
238,-34
239,20
240,-33
241,50
242,50
243,50
244,-10
245,14
246,5
247,-80
248,50
249,50
250,-77
251,50
252,44
253,-48
254,47
255,-1
256,2
257,-24
258,-10
259,26
260,-10
261,35
262,-4
263,-37
264,38
265,-24
266,50
267,-53
268,-68
269,50
270,50
271,27
272,47
273,23
274,50
275,50
276,-10
277,0
278,50
279,50
280,-74
281,11
282,29
283,-67
284,50
285,-17
286,-10
287,-25
288,44
289,44
290,-72
291,-1
292,-23
293,50
294,50
295,-61
296,20
297,-58
298,50
299,-41
300,-43
301,50
302,26
303,-12
304,-51
305,14
306,-41
307,50
308,-48
309,17
310,12
311,47
312,-61
313,41
314,47
315,26
316,44
317,17
318,50
319,38
320,-22
321,-86
322,50
323,-34
324,50
325,27
326,-25
327,-21
328,16
329,38
330,23
331,-12
332,41
333,44
334,-20
335,-63
336,-87
337,-40
338,-6
339,11
340,-13
341,-34
342,2
343,-21
344,-10
345,26
346,-64
347,38
348,-42
349,-2
350,-7
351,-67
352,-16
353,-102
354,50
355,9
356,50
357,-46
358,50
359,41
360,-23
361,26
362,35
363,-30
364,-4
365,50
366,9
367,26
368,14
369,-53
370,38
371,-79
372,-16
373,44
374,50
375,6
376,-27
377,50
378,-63
379,-44
380,-8
381,-49
382,15
383,-7
384,41
385,-59
386,-27
387,-37
388,44
389,-64
390,5
391,26
392,-34
393,-53
394,24
395,26
396,-25
397,41
398,-27
399,15
400,6
401,-9
402,-67
403,-94
404,-67
405,-41
406,-32
407,41
408,-68
409,-40
410,-50
411,-27
412,-75
413,-39
414,11
415,-33
416,3
417,44
418,44
419,26
420,-38
421,-65
422,-6
423,26
424,-48
425,47
426,-12
427,-64
428,-10
429,-3
430,16
431,-72
432,-40
433,28
434,-24
435,-24
436,50
437,8
438,2
439,5
440,26
441,41
442,-45
443,50
444,26
445,50
446,9
447,50
448,-70
449,44
450,44
451,50
452,-34
453,50
454,41
455,-80
456,-76
457,6
458,44
459,50
460,50
461,44
462,-56
463,50
464,-31
465,50
466,50
467,-64
468,27
469,14
470,44
471,2
472,-51
473,-74
474,50
475,-41
476,9
477,-22
478,26
479,50
480,50
481,44
482,17
483,-53
484,14
485,-103
486,26
487,-37
488,32
489,-19
490,-25
491,44
492,-45
493,-55
494,20
495,50
496,20
497,-95
498,50
499,50
500,-142
501,-142
502,-130
