,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,100,98,98
1,100,98,98
2,100,98,98
3,100,98,98
4,100,98,98
5,100,98,98
6,100,98,98
7,100,98,98
8,100,98,98
9,100,98,98
10,100,98,98
11,100,98,98
12,100,98,98
13,100,98,98
14,100,98,98
15,100,98,98
16,100,98,98
17,100,98,98
18,100,98,98
19,100,98,98
20,100,98,98
21,100,98,98
22,100,98,98
23,100,98,98
24,100,98,98
25,100,98,98
26,100,98,98
27,100,98,98
28,100,98,98
29,100,98,98
30,100,98,98
31,100,98,98
32,100,98,98
33,100,98,98
34,100,98,98
35,100,98,98
36,100,98,98
37,100,98,98
38,100,98,98
39,100,98,98
40,100,98,98
41,100,98,98
42,100,98,98
43,100,98,98
44,100,98,98
45,100,98,98
46,100,98,98
47,100,98,98
48,100,98,98
49,100,98,98
50,100,98,98
51,100,98,98
52,100,98,98
53,100,98,98
54,100,98,98
55,100,98,98
56,100,98,98
57,100,98,98
58,100,98,98
59,100,98,98
60,100,98,98
61,100,98,98
62,100,98,98
63,100,98,98
64,100,98,98
65,100,98,98
66,100,98,98
67,100,98,98
68,100,98,98
69,100,98,98
70,100,98,98
71,100,98,98
72,100,98,98
73,100,98,98
74,100,98,98
75,100,98,98
76,100,98,98
77,100,98,98
78,100,98,98
79,100,98,98
80,100,98,98
81,100,98,98
82,100,98,98
83,100,98,98
84,100,98,98
85,100,98,98
86,100,98,98
87,100,98,98
88,100,98,98
89,100,98,98
90,100,98,98
91,100,98,98
92,100,98,98
93,100,98,98
94,100,98,98
95,100,98,98
96,100,98,98
97,100,98,98
98,100,98,98
99,100,98,98
100,100,98,98
101,100,98,98
102,100,98,98
103,100,98,98
104,100,98,98
105,100,98,98
106,100,98,98
107,100,98,98
108,100,98,98
109,100,98,98
110,100,98,98
111,100,98,98
112,100,98,98
113,100,98,98
114,100,98,98
115,100,98,98
116,100,98,98
117,100,98,98
118,100,98,98
119,100,98,98
120,100,98,98
121,100,98,98
122,100,98,98
123,100,98,98
124,100,98,98
125,100,98,98
126,100,98,98
127,100,98,98
128,100,98,98
129,100,98,98
130,100,98,98
131,100,98,98
132,100,98,98
133,100,98,98
134,100,98,98
135,100,98,98
136,100,98,98
137,100,98,98
138,100,98,98
139,100,98,98
140,100,98,98
141,100,98,98
142,100,98,98
143,100,98,98
144,100,98,98
145,100,98,98
146,100,98,98
147,100,98,98
148,100,98,98
149,100,98,98
150,100,98,98
151,100,98,98
