,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,40,100,100
1,54,88,50
2,50,50,100
3,50,46,50
4,50,90,100
5,100,90,50
6,100,100,100
7,50,100,100
8,48,100,50
9,100,100,50
10,98,70,40
11,96,54,60
12,58,100,56
13,48,50,50
14,88,100,100
15,94,50,50
16,54,68,58
17,78,100,92
18,48,50,58
19,100,50,50
20,70,84,60
21,50,50,100
22,50,50,52
23,50,50,62
24,50,96,100
25,66,38,90
26,94,100,56
27,92,64,94
28,50,50,68
29,100,100,52
30,84,50,96
31,64,100,74
32,46,48,90
33,54,100,86
34,100,52,52
35,54,70,78
36,60,48,100
37,64,96,100
38,98,42,86
39,44,50,50
40,100,100,94
41,56,94,96
42,100,100,100
43,60,58,78
44,40,100,100
45,48,50,62
46,86,46,100
47,50,94,100
48,76,94,100
49,66,42,86
50,50,50,92
51,96,50,100
52,48,48,66
53,72,92,40
54,72,50,94
55,88,96,74
56,100,100,100
57,50,92,94
58,88,50,100
59,50,90,88
60,100,50,100
61,50,52,42
62,94,100,100
63,100,100,96
64,50,48,100
65,100,36,54
66,98,66,58
67,72,62,70
68,50,50,52
69,50,52,100
70,50,54,56
71,50,100,96
72,100,100,98
73,64,100,50
74,50,80,90
75,50,94,50
76,44,100,98
77,100,50,50
78,50,94,96
79,90,100,50
80,88,100,58
81,100,62,96
82,50,96,50
83,70,54,98
84,50,100,52
85,50,50,96
86,48,94,48
87,50,94,48
88,96,56,50
89,50,48,90
90,54,50,68
91,40,52,50
92,46,100,100
93,52,94,88
94,96,86,50
95,34,100,50
96,50,56,96
97,50,88,60
98,50,50,42
99,50,50,92
100,50,62,96
101,46,50,92
102,100,100,100
103,50,50,46
104,50,48,54
105,60,100,100
106,50,100,46
107,92,50,56
108,48,56,52
109,50,100,90
110,96,100,100
111,50,100,100
112,50,100,100
113,48,92,50
114,44,82,50
115,50,100,50
116,48,100,60
117,46,100,100
118,100,46,80
119,86,100,78
120,50,100,44
121,44,96,94
122,50,48,50
123,56,80,50
124,98,70,100
125,50,60,50
126,82,50,100
127,100,50,54
128,50,94,92
129,94,90,50
130,100,78,50
131,100,100,50
132,50,86,50
133,50,100,94
134,50,50,50
135,74,100,50
136,44,100,100
137,92,52,66
138,50,100,58
139,50,96,54
140,60,50,84
141,44,72,100
142,76,100,100
143,50,50,84
144,90,100,100
145,50,50,38
146,100,64,94
147,52,88,54
148,100,54,100
149,76,100,48
150,76,94,94
151,50,92,100
152,48,100,96
153,52,52,96
154,50,50,90
155,70,100,52
156,50,100,50
157,50,100,100
158,54,94,56
159,50,94,90
160,50,56,100
161,96,50,54
162,100,84,48
163,100,100,56
164,96,50,50
165,66,42,100
166,50,100,50
167,54,100,80
168,100,50,100
169,94,100,86
170,58,100,50
171,100,94,100
172,50,98,50
173,76,50,50
174,100,50,50
175,50,64,100
176,90,54,98
177,50,100,94
178,96,48,48
179,66,94,50
180,50,100,50
181,46,94,94
182,50,100,100
183,50,52,74
184,50,96,58
185,44,94,100
186,48,44,96
187,100,46,70
188,36,54,54
189,76,100,44
190,52,100,100
191,94,50,100
192,96,100,58
193,50,100,96
194,76,84,86
195,50,100,100
196,70,100,50
197,96,50,56
198,100,100,50
199,94,98,92
200,48,58,96
201,100,78,60
202,100,50,62
203,56,50,50
204,48,46,96
205,50,100,74
206,96,50,42
207,48,48,44
208,58,50,100
209,50,94,98
210,50,100,100
211,86,94,74
212,46,100,50
213,62,62,92
214,46,94,100
215,70,100,94
216,50,100,100
217,50,40,86
218,100,88,100
219,50,52,100
220,100,50,100
221,50,46,100
222,50,96,100
223,100,42,100
224,50,86,94
225,100,100,48
226,50,50,96
227,72,94,100
228,100,100,100
229,100,100,100
230,100,50,74
231,66,100,94
232,42,52,96
233,96,50,50
234,50,50,84
235,98,94,54
236,50,50,50
237,50,96,100
238,82,50,100
239,54,46,46
240,84,50,100
241,44,56,84
242,100,96,90
243,100,100,46
244,100,100,84
245,46,94,84
246,50,100,46
247,60,52,100
248,98,50,96
249,56,94,48
250,50,100,52
251,52,98,96
252,50,46,100
253,50,96,100
254,60,46,100
255,70,42,50
256,50,46,50
257,50,100,64
258,50,94,100
259,54,100,48
260,94,94,82
261,100,80,82
262,62,50,42
263,72,56,100
264,50,72,100
265,50,96,56
266,72,100,50
267,44,46,66
268,94,100,90
269,50,54,98
270,100,84,90
271,54,96,64
272,96,90,96
273,50,58,48
274,62,100,92
275,76,100,100
276,46,50,96
277,96,76,92
278,48,100,92
279,100,78,88
280,50,96,50
281,92,94,100
282,44,50,48
283,68,88,100
284,44,100,96
285,50,54,36
286,60,56,44
287,100,98,94
288,50,100,96
289,98,94,100
290,98,100,96
291,100,100,40
292,100,94,78
293,50,56,98
294,100,50,50
295,50,100,86
296,60,94,94
297,92,90,54
298,38,100,100
299,94,44,100
300,52,100,62
301,100,100,100
302,50,92,56
303,50,48,100
304,100,100,100
305,96,72,98
306,96,70,100
307,100,100,52
308,50,96,50
309,62,92,46
310,76,46,98
311,82,96,94
312,96,48,52
313,94,50,50
314,50,52,100
315,50,100,100
316,62,100,50
317,100,90,94
318,48,98,94
319,58,50,86
320,92,100,94
321,100,96,100
322,52,100,60
323,100,100,78
324,84,84,52
325,100,50,52
326,56,52,100
327,44,100,58
328,50,100,52
329,100,50,46
330,46,82,100
331,78,50,86
332,100,72,98
333,94,90,50
334,54,100,100
335,100,70,50
336,96,98,52
337,54,52,92
338,78,90,46
339,50,56,50
340,100,56,100
341,50,100,100
342,50,94,66
343,54,36,100
344,94,100,54
345,50,50,100
346,48,98,56
347,92,80,50
348,46,100,100
349,50,100,66
350,50,100,94
351,98,50,96
352,56,66,44
353,100,48,92
354,96,42,100
355,50,48,42
356,50,50,96
357,90,50,50
358,60,50,60
359,52,50,84
360,86,88,98
361,52,50,54
362,96,100,90
363,100,90,48
364,58,100,62
365,60,92,100
366,90,50,100
367,100,92,94
368,90,100,96
369,50,44,90
370,100,84,84
371,62,90,94
372,50,100,94
373,92,100,52
374,96,46,100
375,100,66,100
376,50,50,92
377,96,100,42
378,100,92,58
379,46,40,60
380,50,50,80
381,56,100,50
382,82,100,100
383,100,72,50
384,100,100,50
385,48,68,74
386,76,100,50
387,100,94,100
388,52,50,100
389,68,54,46
390,48,50,50
391,92,38,100
392,50,48,50
