,EEE
0,-10
1,10
2,0
3,0
4,-4
5,4
6,12
7,-12
8,4
9,-4
10,-8
11,8
12,4
13,-4
14,2
15,-2
16,2
17,-2
18,-10
19,10
20,-2
21,2
22,0
23,0
24,4
25,-4
26,-2
27,2
28,6
29,-6
30,-18
31,18
32,-2
33,2
34,-12
35,12
36,22
37,-22
38,-6
39,6
40,-2
41,2
42,-2
43,2
44,-8
45,8
46,-4
47,4
48,-20
49,20
50,-2
51,2
52,16
53,-16
54,2
55,-2
56,-6
57,6
58,20
59,-20
60,-8
61,8
62,8
63,-8
64,10
65,-10
66,-2
67,2
68,-2
69,2
70,-6
71,6
72,10
73,-10
74,0
75,0
76,2
77,-2
78,4
79,-4
80,-4
81,4
82,-16
83,16
84,12
85,-12
86,-4
87,4
88,-20
89,20
90,22
91,-22
92,10
93,-10
94,0
95,0
96,4
97,-4
98,12
99,-12
