,EEE
0,34
1,-36
2,122
3,34
4,46
5,28
6,-34
7,-28
8,-12
9,2
10,46
11,-48
12,-38
13,44
14,150
15,-24
16,-42
17,30
18,66
19,14
20,122
21,-38
22,-50
23,-40
24,-36
25,24
26,-32
27,-32
28,-44
29,-32
30,80
31,-28
32,-40
33,0
34,62
35,-32
36,150
37,-6
38,24
39,-36
40,122
41,-34
42,-42
43,66
44,-44
45,-14
46,50
47,-32
48,-44
49,128
50,46
51,-38
52,102
53,-8
54,-20
55,40
56,90
57,-38
58,-38
59,110
60,-38
61,118
62,150
63,84
64,-8
65,28
66,24
67,150
68,150
69,-40
70,-22
71,-44
72,72
73,-42
74,150
75,-8
76,-6
77,56
78,120
79,-38
80,-28
81,-40
82,-46
83,-38
84,-46
85,104
86,-36
87,-42
88,-44
89,20
90,100
91,100
92,2
93,-30
94,-38
95,-4
96,24
97,-30
98,4
99,-36
100,48
101,-40
102,128
103,150
104,150
105,-28
106,94
107,-30
108,-38
109,14
110,-38
111,0
112,-34
113,-36
114,-36
115,-28
116,90
117,-16
118,-22
119,114
120,150
121,-32
122,46
123,102
124,-48
125,-32
126,-16
127,-40
128,98
129,150
130,150
131,-4
132,-36
133,24
134,-52
135,-36
136,96
137,28
138,-16
139,20
140,54
141,-30
142,-42
143,-46
144,150
145,-12
146,-12
147,-8
148,-34
149,118
150,-30
151,66
152,-26
153,150
154,-20
155,48
156,48
157,86
158,-28
159,-46
160,-12
161,2
162,46
163,120
164,44
165,0
166,-26
167,-18
168,-50
169,-14
170,50
171,42
172,140
173,-38
174,-38
175,-36
176,80
177,-42
178,86
179,30
180,-32
181,-22
182,-42
183,64
184,150
185,112
186,-26
187,-30
188,-6
189,-46
190,-20
191,-26
192,-18
193,-48
194,-46
195,-20
196,-32
197,-32
198,122
199,150
200,-38
201,-28
202,-50
203,16
204,120
205,60
206,44
207,-32
208,-46
209,-30
210,-42
211,14
212,-14
213,-40
214,-14
215,74
216,-42
217,-30
218,-42
219,134
220,-6
221,-16
222,-38
223,-32
224,150
225,150
226,-52
227,64
228,-18
229,58
230,-36
231,-50
232,104
233,-40
234,-18
235,-40
236,-30
237,52
238,-28
239,150
240,68
241,-46
242,-38
243,-36
244,-12
245,4
246,-38
247,108
248,76
249,84
250,-28
251,150
252,148
253,-24
254,8
255,-8
256,-2
257,-12
258,38
259,-28
260,-20
261,8
262,8
263,-4
264,-10
265,-44
266,84
267,42
268,-34
269,2
270,34
271,36
272,-48
273,-38
274,-40
275,-32
276,-38
277,-26
278,-26
279,-36
280,-50
281,38
282,-38
283,-2
284,18
285,30
286,-14
287,-34
288,150
289,-46
290,24
291,12
292,-42
293,-36
294,48
295,-2
296,-36
297,-32
298,150
299,24
300,88
301,14
302,4
303,48
304,32
305,66
306,-44
307,-44
308,-38
309,-30
310,-34
311,-48
312,42
313,-44
314,-42
315,-30
316,68
317,-38
318,-34
319,-40
320,-38
321,78
322,-10
323,-38
324,150
325,-28
326,-38
327,18
328,150
329,-44
330,-48
331,-8
332,-42
333,-32
334,50
335,48
336,84
337,88
338,-34
339,90
340,-30
341,-38
342,-44
343,-44
344,-34
345,-36
346,6
347,-18
348,-10
349,-8
350,-48
351,-44
352,6
353,-14
354,-36
355,-24
356,-36
357,-30
358,-14
359,-8
360,-34
361,-4
362,30
363,88
364,-28
365,70
366,-54
367,-50
368,-46
369,-44
370,100
371,-46
372,-44
373,-10
374,-48
375,58
376,-42
377,-34
378,-36
379,-30
380,16
381,-2
382,-34
383,0
384,-54
385,-28
386,12
387,-48
388,-34
389,-30
390,10
391,70
392,-26
393,-30
394,-6
395,-24
396,42
397,32
398,-32
399,-40
400,-38
401,-12
402,-4
403,0
404,150
405,-54
406,-34
407,-38
408,2
409,-24
410,-8
411,150
412,-12
413,-18
414,-38
415,122
416,-20
417,-36
418,-10
419,-48
420,84
421,-36
422,-16
423,-42
424,-36
425,120
426,-32
427,0
428,-28
429,0
430,-30
431,-34
432,106
433,-40
434,150
435,-38
436,52
437,-42
438,32
439,76
440,-42
441,38
442,-26
443,150
444,8
445,150
446,-32
447,-10
448,-32
449,-40
450,-30
451,-48
452,12
453,10
454,22
455,-34
456,46
457,-34
458,70
459,-42
460,46
461,-36
462,-36
463,4
464,68
465,-36
466,-36
467,20
468,24
469,102
470,-48
471,-16
472,66
473,150
474,-10
475,-44
476,-10
477,-24
478,-42
479,-48
480,-48
481,-40
482,-40
483,-42
484,-36
485,42
486,-40
487,-10
488,12
489,-32
490,68
491,0
492,46
493,-44
494,-46
495,-26
496,-42
497,74
498,-30
499,-36
