,CoopPunishOpp,BullyOpp,BullyPunishOpp
0,150,-72,-70
1,140,-76,-76
2,106,-78,-84
3,102,-80,-76
4,150,-70,-78
5,150,-78,-78
6,148,-72,-72
7,102,-74,-74
8,100,-76,-78
9,104,-74,-74
10,140,-72,-82
11,100,-82,-74
12,100,-68,-92
13,150,-78,-84
14,100,-72,-68
15,150,-80,-82
16,150,-80,-70
17,100,-74,-80
18,100,-72,-72
19,100,-76,-78
20,100,-74,-68
21,100,-76,-78
22,100,-76,-78
23,150,-82,-78
24,150,-72,-72
25,136,-72,-68
26,150,-90,-72
27,100,-76,-74
28,150,-76,-70
29,100,-78,-74
30,150,-82,-80
31,144,-84,-82
32,150,-76,-76
33,100,-72,-70
34,150,-78,-78
35,100,-72,-78
36,150,-74,-74
37,104,-78,-80
38,100,-84,-72
39,100,-74,-78
40,144,-78,-70
41,100,-78,-74
42,100,-74,-70
43,150,-72,-68
44,100,-80,-80
45,100,-76,-72
46,100,-68,-74
47,100,-78,-74
48,150,-88,-84
49,100,-76,-88
50,150,-78,-70
51,100,-78,-70
52,100,-76,-76
53,100,-72,-78
54,112,-78,-68
55,108,-76,-78
56,142,-70,-68
57,150,-76,-72
58,100,-82,-72
59,100,-76,-72
60,150,-72,-70
61,106,-74,-84
62,142,-78,-78
63,150,-82,-80
64,138,-80,-74
65,100,-84,-76
66,150,-72,-82
67,100,-80,-74
68,136,-88,-78
69,100,-76,-68
70,134,-80,-80
71,144,-68,-72
72,100,-76,-74
73,100,-74,-76
74,100,-80,-80
75,150,-78,-76
76,136,-76,-74
77,100,-70,-78
78,100,-78,-76
79,150,-76,-74
80,100,-92,-72
81,100,-72,-82
82,150,-86,-82
83,150,-74,-78
84,150,-78,-82
85,150,-82,-66
86,100,-66,-76
87,124,-90,-76
88,140,-70,-72
89,124,-74,-72
90,100,-76,-68
91,100,-74,-78
92,150,-78,-72
93,118,-78,-72
94,144,-70,-72
95,142,-78,-78
96,100,-80,-70
97,100,-70,-70
98,150,-80,-70
99,142,-82,-72
100,100,-72,-86
101,106,-82,-76
102,140,-74,-72
103,100,-78,-74
104,100,-84,-78
105,150,-76,-76
106,114,-68,-72
107,100,-72,-72
108,144,-72,-72
109,150,-78,-72
110,110,-76,-72
111,100,-78,-80
112,106,-78,-88
113,100,-78,-68
114,140,-80,-78
115,130,-72,-72
116,100,-76,-74
117,150,-70,-78
118,142,-76,-80
119,144,-72,-74
120,100,-72,-84
121,150,-70,-76
122,150,-74,-82
123,150,-78,-80
124,150,-80,-76
125,124,-88,-70
126,100,-84,-70
127,114,-78,-76
128,150,-74,-78
129,142,-72,-84
130,104,-72,-80
131,104,-74,-88
132,144,-82,-76
133,100,-72,-74
134,106,-76,-74
135,100,-72,-78
136,106,-76,-86
137,140,-78,-74
138,100,-76,-78
139,100,-78,-76
140,150,-72,-88
141,100,-72,-88
142,100,-74,-90
143,144,-74,-82
144,144,-72,-78
145,150,-72,-74
146,100,-78,-88
147,150,-72,-76
148,104,-70,-78
149,128,-76,-72
150,100,-74,-78
151,100,-82,-76
152,140,-72,-72
153,100,-72,-78
154,150,-84,-72
155,150,-72,-78
156,100,-70,-88
157,100,-72,-82
158,100,-76,-82
159,150,-94,-84
160,106,-72,-76
161,98,-72,-74
162,100,-70,-78
163,100,-82,-80
164,104,-80,-74
165,100,-72,-82
166,138,-76,-70
167,100,-74,-82
168,128,-70,-66
169,100,-82,-74
170,100,-76,-78
171,118,-78,-66
172,150,-78,-90
173,100,-72,-72
174,100,-74,-70
175,108,-80,-78
176,150,-72,-74
177,100,-84,-80
178,150,-86,-66
179,150,-80,-74
180,100,-72,-76
181,150,-72,-72
182,100,-70,-70
183,144,-76,-76
184,104,-76,-72
185,142,-78,-78
186,142,-74,-76
187,132,-74,-70
188,140,-68,-70
189,150,-78,-72
190,124,-88,-72
191,132,-70,-74
192,100,-76,-68
193,100,-76,-78
194,152,-84,-74
195,150,-80,-72
196,144,-72,-72
197,100,-72,-74
198,100,-74,-70
199,142,-70,-78
200,118,-74,-74
201,150,-82,-70
202,136,-76,-88
203,150,-78,-78
204,100,-68,-78
205,122,-70,-72
206,104,-72,-78
207,144,-74,-76
208,150,-72,-90
209,100,-70,-78
210,134,-76,-78
211,144,-78,-68
212,100,-76,-76
213,106,-74,-74
214,100,-76,-80
215,100,-70,-78
216,142,-86,-76
217,100,-76,-74
218,100,-82,-74
219,100,-72,-72
220,104,-76,-72
221,116,-74,-70
222,150,-68,-74
223,100,-78,-84
224,100,-82,-72
225,150,-68,-78
226,100,-78,-76
227,100,-70,-70
228,100,-94,-72
229,144,-80,-72
230,100,-74,-72
231,150,-80,-70
232,144,-72,-76
233,106,-74,-78
234,100,-76,-72
235,138,-74,-74
236,150,-80,-70
237,150,-80,-74
238,150,-96,-74
239,150,-76,-78
240,104,-80,-76
241,150,-74,-70
242,106,-74,-66
243,136,-76,-78
244,100,-88,-74
245,150,-76,-76
246,106,-76,-70
247,150,-76,-96
248,100,-68,-74
249,150,-76,-74
250,100,-78,-78
251,106,-74,-78
252,100,-72,-82
253,150,-74,-74
254,100,-78,-76
255,150,-80,-72
256,106,-74,-80
257,132,-74,-72
258,100,-76,-72
259,100,-70,-74
260,100,-70,-76
261,150,-80,-78
262,150,-70,-70
263,100,-72,-84
264,150,-72,-86
265,100,-80,-78
266,150,-72,-78
267,140,-78,-72
268,100,-78,-78
269,150,-72,-68
270,150,-78,-72
271,100,-76,-74
272,100,-74,-86
273,100,-72,-80
274,100,-88,-74
275,150,-72,-68
276,100,-68,-70
277,100,-80,-82
278,104,-78,-74
279,100,-78,-74
280,150,-72,-76
281,130,-66,-80
282,140,-78,-78
283,150,-74,-72
284,142,-72,-78
285,104,-90,-74
286,100,-80,-76
287,142,-76,-86
288,100,-76,-78
289,100,-72,-76
290,100,-72,-74
291,100,-76,-72
292,100,-78,-72
293,138,-76,-76
294,150,-74,-72
295,150,-70,-66
296,126,-76,-82
297,104,-72,-78
298,150,-72,-74
299,100,-74,-84
300,100,-72,-74
301,150,-76,-76
302,150,-72,-78
303,106,-80,-74
304,100,-78,-92
305,100,-78,-74
306,150,-78,-80
307,106,-80,-72
308,100,-72,-74
309,150,-84,-80
310,150,-74,-68
311,100,-68,-78
312,150,-74,-76
313,122,-92,-92
314,100,-78,-70
315,152,-68,-70
316,100,-76,-66
317,100,-72,-74
318,134,-90,-74
319,150,-70,-76
320,150,-80,-74
321,100,-68,-74
322,100,-72,-74
323,100,-74,-76
324,100,-80,-74
325,104,-80,-78
326,100,-74,-80
327,150,-74,-74
328,100,-74,-74
329,100,-80,-86
330,100,-74,-86
331,106,-76,-74
332,142,-80,-74
333,100,-72,-70
334,150,-72,-74
335,144,-76,-74
336,150,-74,-80
337,144,-76,-72
338,100,-72,-78
339,150,-72,-80
340,100,-76,-74
341,136,-82,-74
342,144,-78,-84
343,132,-78,-76
344,106,-72,-72
345,100,-80,-74
346,100,-74,-82
347,150,-74,-80
348,142,-76,-76
349,150,-76,-76
350,100,-78,-72
351,138,-76,-74
352,150,-76,-74
353,104,-76,-72
354,100,-74,-72
355,150,-76,-78
356,100,-72,-86
357,150,-76,-82
358,100,-84,-76
359,124,-74,-74
360,150,-86,-70
361,100,-80,-72
362,134,-74,-80
363,150,-72,-76
364,142,-68,-76
365,150,-74,-70
366,150,-78,-76
367,150,-72,-78
368,150,-70,-74
369,138,-78,-74
370,100,-72,-74
371,100,-70,-74
372,150,-76,-72
373,142,-92,-80
374,142,-78,-82
375,142,-78,-74
376,100,-72,-78
377,100,-74,-72
378,150,-74,-72
379,144,-82,-80
380,150,-76,-72
381,100,-80,-68
382,142,-74,-72
383,144,-84,-72
384,100,-70,-74
385,100,-70,-80
386,100,-72,-80
387,150,-86,-70
388,100,-72,-72
389,100,-72,-74
390,134,-76,-74
391,104,-76,-76
392,150,-76,-80
393,128,-76,-78
394,100,-80,-72
395,150,-78,-74
396,100,-72,-72
397,100,-76,-78
398,144,-72,-78
399,150,-70,-78
400,100,-90,-72
401,152,-74,-72
402,150,-74,-76
403,100,-82,-88
404,144,-74,-76
405,100,-86,-78
406,100,-80,-74
407,100,-80,-74
408,100,-70,-78
409,106,-76,-72
410,100,-76,-76
411,100,-74,-74
412,150,-78,-78
413,120,-78,-70
414,100,-66,-78
415,150,-88,-78
416,140,-78,-72
417,100,-72,-82
418,124,-72,-78
419,100,-76,-74
420,100,-76,-76
421,150,-84,-66
422,150,-72,-86
423,138,-74,-74
424,136,-70,-76
425,114,-76,-72
426,100,-74,-70
427,106,-96,-70
428,100,-80,-78
429,100,-72,-70
430,150,-76,-76
431,106,-76,-74
432,100,-76,-80
433,150,-74,-80
434,100,-78,-78
435,150,-72,-76
436,112,-74,-72
437,100,-78,-74
438,150,-74,-68
439,100,-70,-78
440,140,-78,-66
441,100,-76,-86
442,130,-76,-74
443,126,-68,-88
444,100,-78,-76
445,150,-76,-76
446,104,-76,-72
447,100,-72,-76
448,150,-78,-70
449,100,-70,-76
450,100,-72,-70
451,100,-98,-72
452,100,-76,-86
453,104,-72,-76
454,150,-74,-76
455,136,-72,-68
456,100,-72,-78
457,144,-70,-70
458,100,-74,-76
459,100,-78,-82
460,100,-76,-80
461,100,-78,-78
462,100,-76,-74
463,150,-84,-74
464,152,-76,-80
465,150,-76,-72
466,100,-70,-76
467,100,-76,-74
468,150,-74,-76
469,100,-70,-70
470,148,-72,-70
471,144,-70,-74
472,100,-76,-76
473,100,-74,-90
474,150,-76,-66
475,150,-72,-74
476,150,-72,-76
